umap_x,umap_y,cluster,confidence,model
8.487412,6.473685,0,0.429193237153601,GMM
12.653036,12.283327,0,0.9985688113712448,GMM
13.323722,13.685939,0,0.9965824881323418,GMM
12.689695,10.713638,0,0.9948459098484468,GMM
12.518403,13.385496,0,0.9983418488531147,GMM
10.351896,0.5932528,1,0.9938721421817177,GMM
9.566224,2.774517,1,0.9704520938245625,GMM
10.287387,1.7728089,1,0.9914926840022021,GMM
9.327633,9.730307,1,0.5627395137811231,GMM
8.359784,10.489082,0,0.9986790128734946,GMM
8.932235,6.868492,0,0.9393445249266839,GMM
9.016595,8.767371,1,0.66891659931828,GMM
9.780318,7.4467936,0,0.9974874841968389,GMM
10.321555,5.8449817,0,0.971554633679351,GMM
10.734836,2.6848927,1,0.9967703381234893,GMM
9.076683,1.204756,1,0.9829048431664728,GMM
12.943855,13.291338,0,0.9981287900231397,GMM
11.927836,4.1832213,0,0.7695260385775177,GMM
9.282494,4.4335837,1,0.8747638278634147,GMM
8.435314,1.5978322,3,0.9922532624733448,GMM
11.57867,10.8518305,0,0.9998937743425053,GMM
7.8136187,6.5801363,0,0.9677641482122104,GMM
12.788844,13.276259,0,0.9987368041382148,GMM
10.287549,7.205438,0,0.8510516276944905,GMM
9.274634,1.3711504,1,0.5692408036523495,GMM
8.977325,2.28531,1,0.8845325841525661,GMM
11.478459,11.394536,0,0.9998814606835943,GMM
10.719561,-0.628936,1,0.9373616023558755,GMM
8.301475,10.750944,0,0.9986643434708229,GMM
9.526867,12.064785,0,0.9998487227482652,GMM
8.941919,10.408506,0,0.9949498033665636,GMM
12.127094,-0.52828264,3,0.9990952600605192,GMM
7.0131564,9.49002,0,0.9422073942952154,GMM
10.102025,6.463947,0,0.9967205542314749,GMM
9.100429,8.929631,0,0.9927954457379163,GMM
8.553173,1.146182,3,0.9989312230527785,GMM
10.445289,-0.36491862,1,0.9975097117586604,GMM
11.365911,7.590391,1,0.8658738600097762,GMM
11.265842,11.084825,0,0.9989304164251449,GMM
12.064437,3.5233626,0,0.5769245899665121,GMM
10.220222,7.372489,0,0.969472980470154,GMM
7.903174,10.727586,0,0.997764695616478,GMM
10.91621,10.759872,0,0.9999028119878701,GMM
10.630191,-0.58428705,1,0.9853340727869907,GMM
10.905034,12.646325,0,0.9998662396927166,GMM
9.777045,10.322486,0,0.9828164997461073,GMM
12.502011,10.586609,0,0.9957181732610213,GMM
8.649969,-0.17225596,1,0.8626408024379827,GMM
10.118527,6.9717445,0,0.8177929072502537,GMM
11.794682,7.2670245,0,0.9758644514224671,GMM
9.351172,-0.29219556,1,0.9919382919729641,GMM
10.472117,11.907123,0,0.9999264651425194,GMM
10.355184,9.068182,0,0.974646723533149,GMM
10.179594,7.8244267,0,0.966038917165999,GMM
11.765479,6.2601333,0,0.9113498990647677,GMM
8.446381,10.275006,0,0.9871198942751191,GMM
11.929535,10.7432,2,0.9699542564866981,GMM
11.412771,0.1958809,1,0.9856674665322475,GMM
12.811825,12.988327,0,0.9959661504854735,GMM
11.461996,8.756467,0,0.9825540033547824,GMM
8.67485,8.194466,0,0.9947062192429095,GMM
7.9959593,3.181081,2,0.986688123028593,GMM
11.840802,2.8601635,0,0.7553729249186262,GMM
10.406621,0.7506819,1,0.9704476123881411,GMM
10.811506,1.9947953,1,0.9961303583104265,GMM
6.412575,2.9870994,2,1.0,GMM
8.128073,8.993781,0,0.9935972347987236,GMM
11.538822,3.2735128,1,0.9263039805874747,GMM
9.167942,5.097458,1,0.929726509048773,GMM
9.640497,0.43285275,1,0.9900339655174069,GMM
10.906335,11.375645,0,0.9999673214020054,GMM
12.273377,7.3801746,0,0.9144748039300875,GMM
11.052628,4.3670497,0,0.9000955501980944,GMM
10.279588,5.082816,2,0.907672315515223,GMM
10.655218,5.3650403,0,0.9207796078351419,GMM
13.344371,11.451117,0,0.9853389697244928,GMM
9.9286785,7.443423,0,0.9893443079983135,GMM
11.034424,12.348203,0,0.9997276422678716,GMM
11.935999,3.3520107,1,0.9406148901574337,GMM
10.991481,1.093725,1,0.9940113571397389,GMM
8.548902,4.423226,1,0.9291847007675588,GMM
11.347405,-0.09436551,1,0.9821886054922456,GMM
9.645286,11.003946,0,0.9971300950757407,GMM
8.712224,4.3324356,1,0.9477082970475856,GMM
8.940859,1.9164213,1,0.9894470989553329,GMM
6.6096916,2.7080433,2,1.0,GMM
8.54576,3.7118633,1,0.9790398898067746,GMM
8.571027,-0.82873136,2,0.9999998825474952,GMM
10.4751005,8.063761,0,0.9999459556827425,GMM
11.668968,5.9676714,0,0.6379634451434129,GMM
13.141066,10.228818,0,0.9662114748750367,GMM
11.604561,2.7421324,1,0.9436869938850937,GMM
10.061052,9.871241,0,0.9908608087314728,GMM
11.329351,4.6360755,1,0.5448392790328804,GMM
8.979239,7.9053082,0,0.9611879634972081,GMM
10.038143,-0.094518326,1,0.9639507650573623,GMM
7.4556217,9.302062,1,0.8928125936799933,GMM
9.744447,5.259595,0,0.6252689342048995,GMM
10.369579,8.179096,0,0.9826866399933605,GMM
10.770746,10.404018,0,0.9996435280772149,GMM
11.177278,12.522293,0,0.9999364295864382,GMM
12.933538,1.0735577,1,0.6672620806566693,GMM
9.918528,6.768871,0,0.9971329991491386,GMM
9.125808,9.703197,0,0.9982403194181555,GMM
11.69985,4.704016,1,0.9344166079800373,GMM
10.790806,2.4515712,1,0.9876111973685864,GMM
9.436293,8.903511,0,0.9755909419212643,GMM
8.647324,7.4344773,0,0.7208289987282517,GMM
7.7325864,7.64337,0,0.9206767147218915,GMM
10.045005,10.327757,0,0.937596376560429,GMM
10.459694,6.4995246,0,0.9993316782896405,GMM
7.897287,10.426082,0,0.999312501597403,GMM
8.046801,6.2438574,0,0.9675307204574926,GMM
11.877295,-0.7491272,3,0.9996766780679471,GMM
5.787001,2.5750062,2,1.0,GMM
8.143523,6.89392,2,0.8327111805850351,GMM
10.944213,8.442209,0,0.9333680164508655,GMM
